Timestamp,Action,Index,Index_Name,Strategy_Type,Broker_Lot_Size,Total_Lots_Deployed,Total_Quantity,Margin_Blocked,Spot_Price,Sell_CE_Strike,Sell_PE_Strike,Sell_CE,Sell_PE,Buy_CE,Buy_PE,Net_Premium,PnL,Exit_Reason,Notes
2026-05-21 23:07:40,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-21 23:08:01,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-22 09:50:03,ENTRY,NIFTY,NIFTY,BTST_BULL_PUT_CREDIT,65,4,260,160000.0,23742.05,,23700.0,0,138.3,0,100.25,38.05,0.0,,BTST_BULL_PUT_CREDIT Paper Trade (Simulated)
2026-05-22 13:36:11,EXIT,NIFTY,NIFTY,BTST_BULL_PUT_CREDIT,65,4,260,160000.0,23808.15,,23700.0,0,96.5,0,65.55,30.95,1846.0,MANUAL_EXIT,BTST_BULL_PUT_CREDIT Paper Trade Closed
2026-05-22 14:15:24,ENTRY,NIFTY,NIFTY,IRON_CONDOR,65,1,65,120000.0,23777.65,24100.0,23500.0,36.45,46.85,1.85,2.4,79.05,0.0,,Local Paper Trade (Simulated)
2026-05-22 15:00:22,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,120000.0,23700.45,24100.0,23500.0,24.95,67.9,1.8,2.25,88.8,-633.75,ATM_DRIFT,Local Paper Trade Closed
2026-05-22 22:04:23,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-22 22:23:16,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-22 22:25:40,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-22 22:26:01,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-22 22:27:24,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-16 21:36:45,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-16 21:39:28,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-16 21:40:38,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-16 21:43:07,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-16 21:44:27,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-16 22:47:37,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-16 23:00:41,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-17 12:03:11,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-17 13:04:19,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-17 14:19:51,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-06-18 08:45:05,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
